case_id,case_name,factor,level,scenario_id,scenario_name,method,solution_hash,scenario_objective_if_completed,deterministic_objective,objective_change,value_drop_ratio,feasible_under_scenario,unavailable_assignment_count,overtime_device_count,total_overtime,max_overtime,mean_utilization,max_utilization,intrinsic_block_value,ordinary_processing_increment,precision_processing_increment,same_precision_reward,precision_mismatch_penalty,cross_crack_loss
SCALE02,木板规模梯度2,board_scale,2,U3,全设备降速,MG-LS,da9bbb0d9f0de3b2,2045.649888196076,2045.649888196076,0.0,0.0,False,0,4,1.7454983205969015,0.5584806708963699,1.0724953711637601,1.124106815754749,877.6498881960763,672.0,384.0,240.0,100.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U4,普通设备故障,MG-LS,da9bbb0d9f0de3b2,2045.649888196076,2045.649888196076,0.0,0.0,False,3,0,0.0,0.0,0.7244746251932241,0.9554907933915364,877.6498881960763,672.0,384.0,240.0,100.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U5,精密设备故障,MG-LS,da9bbb0d9f0de3b2,2045.649888196076,2045.649888196076,0.0,0.0,False,2,0,0.0,0.0,0.7304459938638144,0.9554907933915364,877.6498881960763,672.0,384.0,240.0,100.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U6,隐藏裂缝,MG-LS,da9bbb0d9f0de3b2,1964.5994892253748,2045.649888196076,-81.05039897070128,0.039620855669576134,False,0,1,0.027068438274275408,0.027068438274275408,0.9379999105043485,1.0060152085053946,816.5994892253748,672.0,384.0,240.0,100.0,48.0
SCALE02,木板规模梯度2,board_scale,2,U7,复合扰动,MG-LS,da9bbb0d9f0de3b2,1964.5994892253748,2045.649888196076,-81.05039897070128,0.039620855669576134,False,3,1,0.029376790634545458,0.029376790634545458,0.7753363231863344,1.0065281756965656,816.5994892253748,672.0,384.0,240.0,100.0,48.0
SCALE03,木板规模梯度3,board_scale,3,U0,基准情景,VF,792681bc8c2f226a,2317.642951667583,2317.642951667583,0.0,0.0,True,0,0,0.0,0.0,0.906031746031746,1.0,1352.642951667583,672.0,480.0,120.0,275.0,32.0
SCALE03,木板规模梯度3,board_scale,3,U1,普通设备降速,VF,792681bc8c2f226a,2317.642951667583,2317.642951667583,0.0,0.0,False,0,2,0.7478991596638656,0.5420168067226889,0.9992530345471522,1.1204481792717087,1352.642951667583,672.0,480.0,120.0,275.0,32.0
SCALE03,木板规模梯度3,board_scale,3,U2,精密设备降速,VF,792681bc8c2f226a,2317.642951667583,2317.642951667583,0.0,0.0,False,0,2,1.625,1.125,1.0004761904761905,1.25,1352.642951667583,672.0,480.0,120.0,275.0,32.0
SCALE03,木板规模梯度3,board_scale,3,U3,全设备降速,VF,792681bc8c2f226a,2317.642951667583,2317.642951667583,0.0,0.0,False,0,4,1.7478991596638656,0.7941176470588234,1.065919701213819,1.1764705882352942,1352.642951667583,672.0,480.0,120.0,275.0,32.0
SCALE03,木板规模梯度3,board_scale,3,U4,普通设备故障,VF,792681bc8c2f226a,2317.642951667583,2317.642951667583,0.0,0.0,False,3,0,0.0,0.0,0.7460317460317459,1.0,1352.642951667583,672.0,480.0,120.0,275.0,32.0
SCALE03,木板规模梯度3,board_scale,3,U5,精密设备故障,VF,792681bc8c2f226a,2317.642951667583,2317.642951667583,0.0,0.0,False,2,0,0.0,0.0,0.7282539682539683,1.0,1352.642951667583,672.0,480.0,120.0,275.0,32.0
SCALE03,木板规模梯度3,board_scale,3,U6,隐藏裂缝,VF,792681bc8c2f226a,2232.2391164843593,2317.642951667583,-85.40383518322369,0.0368494358122653,False,0,1,0.18196769987457184,0.18196769987457184,0.9399635410493501,1.0404372666387938,1279.2391164843593,672.0,480.0,120.0,275.0,44.0
SCALE03,木板规模梯度3,board_scale,3,U7,复合扰动,VF,792681bc8c2f226a,2232.2391164843593,2317.642951667583,-85.40383518322369,0.0368494358122653,False,3,2,1.2021863331939677,0.7021863331939677,0.825306591419101,1.1560414073764373,1279.2391164843593,672.0,480.0,120.0,275.0,44.0
SCALE03,木板规模梯度3,board_scale,3,U0,基准情景,VDF,5caa894afcb76c4c,2622.642951667583,2622.642951667583,0.0,0.0,True,0,0,0.0,0.0,0.906031746031746,1.0,1352.642951667583,672.0,480.0,300.0,150.0,32.0
SCALE03,木板规模梯度3,board_scale,3,U1,普通设备降速,VDF,5caa894afcb76c4c,2622.642951667583,2622.642951667583,0.0,0.0,False,0,2,0.7478991596638656,0.5420168067226889,0.9992530345471522,1.1204481792717087,1352.642951667583,672.0,480.0,300.0,150.0,32.0
SCALE03,木板规模梯度3,board_scale,3,U2,精密设备降速,VDF,5caa894afcb76c4c,2622.642951667583,2622.642951667583,0.0,0.0,False,0,2,1.625,1.125,1.0004761904761905,1.25,1352.642951667583,672.0,480.0,300.0,150.0,32.0
SCALE03,木板规模梯度3,board_scale,3,U3,全设备降速,VDF,5caa894afcb76c4c,2622.642951667583,2622.642951667583,0.0,0.0,False,0,4,1.7478991596638656,0.7941176470588234,1.065919701213819,1.1764705882352942,1352.642951667583,672.0,480.0,300.0,150.0,32.0
SCALE03,木板规模梯度3,board_scale,3,U4,普通设备故障,VDF,5caa894afcb76c4c,2622.642951667583,2622.642951667583,0.0,0.0,False,3,0,0.0,0.0,0.7460317460317459,1.0,1352.642951667583,672.0,480.0,300.0,150.0,32.0
SCALE03,木板规模梯度3,board_scale,3,U5,精密设备故障,VDF,5caa894afcb76c4c,2622.642951667583,2622.642951667583,0.0,0.0,False,2,0,0.0,0.0,0.7282539682539683,1.0,1352.642951667583,672.0,480.0,300.0,150.0,32.0
SCALE03,木板规模梯度3,board_scale,3,U6,隐藏裂缝,VDF,5caa894afcb76c4c,2537.2391164843593,2622.642951667583,-85.40383518322369,0.032564034356609796,False,0,1,0.1426209540376595,0.1426209540376595,0.9224736802834134,1.0316935453417022,1279.2391164843593,672.0,480.0,300.0,150.0,44.0
SCALE03,木板规模梯度3,board_scale,3,U7,复合扰动,VDF,5caa894afcb76c4c,2537.2391164843593,2622.642951667583,-85.40383518322369,0.032564034356609796,False,3,1,0.6584677267085102,0.6584677267085102,0.8051532899329821,1.14632616149078,1279.2391164843593,672.0,480.0,300.0,150.0,44.0
SCALE03,木板规模梯度3,board_scale,3,U0,基准情景,MG,d362686e60a64edb,2587.642951667583,2587.642951667583,0.0,0.0,True,0,0,0.0,0.0,0.906031746031746,1.0,1352.642951667583,672.0,480.0,240.0,125.0,32.0
